AG,First Majestic Silver Corp. Ordinary Shares (Canada),3317948852,Canada,,4479151,Basic Industries,Precious Metals
AGC,Altimeter Growth Corp. Class A Ordinary Shares,709375000,United States,2020,231443,Finance,Business Services
AGCO,AGCO Corporation Common Stock,10807574875,United States,,379205,Capital Goods,Industrial Machinery/Components
AGCUU,Altimeter Growth Corp. Unit,0,United States,2020,49185,Finance,Business Services
AGCWW,Altimeter Growth Corp. Warrant,0,United States,2020,62277,Finance,Business Services
AGD,Aberdeen Global Dynamic Dividend Fund,139425856,United States,2006,41764,,
AGEN,Agenus Inc. Common Stock,552650639,United States,2000,3944229,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AGFS,AgroFresh Solutions Inc. Common Stock,106979195,United States,2014,91401,Basic Industries,Agricultural Chemicals
AGFY,Agrify Corporation Common Stock,237650577,United States,2021,129883,Consumer Non-Durables,Farming/Seeds/Milling
AGGRU,Agile Growth Corp. Units,0,United States,2021,25676,Finance,Business Services
AGI,Alamos Gold Inc. Class A Common Shares,2961537238,Canada,2015,4194735,Basic Industries,Precious Metals
AGIO,Agios Pharmaceuticals Inc. Common Stock,3427865601,United States,2013,1114545,Health Care,Major Pharmaceuticals
AGLE,Aeglea BioTherapeutics Inc. Common Stock,359158872,United States,2016,144007,Health Care,Major Pharmaceuticals
AGM,Federal Agricultural Mortgage Corporation Common Stock,1082947537,United States,,72205,Finance,Finance Companies
AGM^C,Federal Agricultural Mortgage Corporation Preferred Series C Fixed to Fltg,,United States,,1024,,
AGM^D,Federal Agricultural Mortgage Corporation 5.700% Non-Cumulative Preferred Stock Series D,,United States,,2014,,
AGM^E,Federal Agricultural Mortgage Corporation 5.750% Non-Cumulative Preferred Stock Series E,,United States,,2143,,
AGM^F,Federal Agricultural Mortgage Corporation 5.250% Non-Cumulative Preferred Stock Series F,,United States,,5444,,
AGNC,AGNC Investment Corp. Common Stock,8970653603,United States,2008,4773959,Consumer Services,Real Estate Investment Trusts
AGNCM,AGNC Investment Corp. Depositary Shares rep 6.875% Series D Fixed-to-Floating Cumulative Redeemable Preferred Stock,0,United States,,15424,Consumer Services,Real Estate Investment Trusts
AGNCN,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 7.00% Series C Fixed-To-Floating Rate Cumulative Redeemable Preferred Stock,0,United States,,17876,Consumer Services,Real Estate Investment Trusts
AGNCO,AGNC Investment Corp. Depositary Shares each representing a 1/1000th interest in a share of 6.50% Series E Fixed-to-Floating Cumulative Redeemable Preferred Stock,0,United States,,58449,Consumer Services,Real Estate Investment Trusts
AGNCP,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 6.125% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock,0,United States,,136861,Consumer Services,Real Estate Investment Trusts
AGR,Avangrid Inc. Common Stock,15360299493,United States,2015,550983,Public Utilities,Electric Utilities: Central
AGRX,Agile Therapeutics Inc. Common Stock,174381519,United States,2014,1530036,Health Care,Major Pharmaceuticals
AGS,PlayAGS Inc. Common Stock,290769861,United States,2018,168030,Consumer Durables,Miscellaneous manufacturing industries
AGTC,Applied Genetic Technologies Corporation Common Stock,208597023,United States,2014,911708,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AGX,Argan Inc. Common Stock,814780090,United States,,67955,Basic Industries,Engineering & Construction
AGYS,Agilysys Inc. Common Stock,1099618919,United States,,117039,Technology,EDP Services
AHAC,Alpha Healthcare Acquisition Corp. Class A Common Stock,141919200,United States,2020,99256,Finance,Business Services
AHACU,Alpha Healthcare Acquisition Corp. Unit,0,United States,2020,3238,Finance,Business Services
AHACW,Alpha Healthcare Acquisition Corp. Warrant,0,United States,2020,26038,Finance,Business Services
AHC,A.H. Belo Corporation (TX) Common Stock,44961888,United States,,100912,Consumer Services,Newspapers/Magazines
AHCO,AdaptHealth Corp. Class A Common Stock,4000762462,United States,2018,391775,Health Care,Medical/Nursing Services
AHH,Armada Hoffler Properties Inc. Common Stock,756617419,United States,2013,161913,Finance,Real Estate
AHH^A,Armada Hoffler Properties Inc. 6.75% Series A Cumulative Redeemable Perpetual Preferred Stock,,United States,,7257,,
AHPI,Allied Healthcare Products Inc. Common Stock,18341864,United States,1992,121816,Health Care,Industrial Specialties
AHT,Ashford Hospitality Trust Inc Common Stock,305380274,United States,2003,5705990,Consumer Services,Real Estate Investment Trusts
AHT^D,Ashford Hospitality Trust Inc 8.45% Series D Cumulative Preferred Stock,,United States,,11608,,
AHT^F,Ashford Hospitality Trust Inc 7.375% Series F Cumulative Preferred Stock,,United States,,1242,,
AHT^G,Ashford Hospitality Trust Inc 7.375% Series G Cumulative Preferred Stock,,United States,,98630,,
AHT^H,Ashford Hospitality Trust Inc 7.50% Series H Cumulative Preferred Stock,,United States,,7116,,
AHT^I,Ashford Hospitality Trust Inc 7.50% Series I Cumulative Preferred Stock,,United States,,7562,,
AIC,Arlington Asset Investment Corp 6.750% Notes due 2025,0,United States,2015,260,Consumer Services,Real Estate Investment Trusts
AIG,American International Group Inc. New Common Stock,40784628248,United States,,3525263,Finance,Property-Casualty Insurers
AIG^A,American International Group Inc. Depositary Shares Each Representing a 1/1000th Interest in a Share of Series A 5.85% Non-Cumulative Perpetual Preferred Stock,,United States,,171589,,
